weekday,hour,avg_speed
6,5,19.128185713921347
4,23,12.3852515806164
2,6,15.21157282204395
3,16,7.929276192149008
2,15,8.185127576819331
2,1,16.56673143246807
1,20,11.957304492338855
3,22,11.815658321207218
2,20,11.364684390256336
2,4,21.00075850257635
1,7,12.709719318928574
5,17,8.555921947324398
4,3,17.565480840078255
6,22,10.281901637667453
3,0,14.522867506054984
7,5,19.419970312036547
1,6,15.832045037620295
6,4,16.570529600331383
4,2,16.369201170479005
6,6,18.45461648780162
3,13,8.151800379192608
2,0,15.428765377846442
7,20,11.731849699042325
2,23,13.426289970959752
6,3,14.78079669677098
1,12,9.315786471158903
4,8,9.89037195302782
3,12,8.071534711728278
1,8,10.586607810573582
4,20,10.50762919162229
1,14,9.32963949039688
3,11,8.106224673072289
5,11,9.078352072314031
1,22,12.858592018965224
7,14,10.601885374433124
4,16,7.846197837969639
7,12,11.490186531635324
5,16,8.319414232186872
3,8,9.75890807523578
2,22,12.276786572140356
7,13,10.994780954336239
7,23,14.448161712425895
4,1,15.475526527649437
3,21,11.388072243936296
1,16,9.188044139512279
6,23,10.92487470319571
7,2,13.63060630043064
5,0,13.434812185574026
3,9,8.975509735003813
6,1,12.683351649988147
6,0,11.904081396835576
4,10,8.636523222030071
4,4,20.29000587286217
7,21,12.270936934379463
2,8,9.710229876064654
1,10,9.603810623621179
6,11,11.154620942399136
3,15,7.978584853386651
2,9,8.92440944449889
3,20,10.89470330139962
3,6,15.33642094462532
2,12,8.19839020221155
4,11,8.184646378973552
5,2,15.606675453795463
5,7,12.868493071609931
6,16,9.31208048761418
3,17,7.852957863034222
5,22,10.537056600408299
7,9,14.879550943853594
4,12,8.17471678120921
7,11,12.256698783801443
7,10,13.372345778043908
1,1,16.355248208056608
6,18,9.306097407944492
4,18,8.26458400336281
4,22,11.44167689579468
1,15,9.150434015334056
2,10,8.492491922647808
1,5,18.74689872841677
2,13,8.50294477142793
4,5,18.353693845714133
3,5,18.30260937524866
5,14,8.811583301413751
3,14,8.179134831935297
1,17,9.282561705911398
5,15,8.366808164803778
4,17,7.838520343975686
7,19,11.113621729958098
2,17,8.239213232963765
3,4,19.95560894355997
4,6,15.305722036468456
1,18,9.819958409759746
1,19,10.773076138672034
5,3,16.693318974924555
6,9,13.438024556301766
1,9,9.967535014284811
4,19,9.174522589824383
5,18,8.819089384491201
6,14,9.819581151103174
5,6,15.987626473376896
4,13,8.307336062456963
5,10,9.50630066865565
1,11,9.29812761814319
6,15,9.557613267350918
6,20,9.934987851911059
5,8,10.8977001457406
6,2,13.474439180164293
6,21,10.200905275215211
3,10,8.474273784214985
2,2,17.28302168593507
5,13,9.180524322573985
7,1,12.625247555865684
3,3,16.978990635356567
2,19,10.059383487972747
7,16,10.312172881229072
2,11,8.121715894951897
6,10,12.206075624323285
6,19,9.298889886323957
5,1,14.709277977383227
5,9,10.13531435960316
2,18,8.765469519419122
7,0,11.919108646616728
4,14,8.18162630027151
1,4,20.745624751677603
4,15,7.87754839026537
2,14,8.398805048013458
7,17,10.32460635959751
5,21,10.41197240630227
7,4,16.633417289722228
3,19,9.379074219672354
2,5,18.325899545609854
6,12,10.500307116480341
3,23,12.914041711974333
1,21,12.321887513583013
5,4,19.31888938876501
7,18,10.567663210286018
5,12,9.107430694064398
7,22,13.143050484902531
1,0,15.553532586397587
6,13,9.947149990557698
1,13,9.459536217380334
2,16,8.232590467556152
7,8,16.636846217610163
3,18,8.342690909149326
1,2,17.12115616516589
1,3,18.579080712407276
2,3,18.698898668646038
6,17,9.266614750394377
1,23,14.16466662449458
6,8,15.091897909650598
5,5,18.937450614428645
5,19,9.152819866186888
3,2,15.810711308639606
7,7,18.53445175729484
4,0,14.250389338894243
3,7,12.014602282262713
3,1,15.280007117910001
7,15,10.464110195570628
5,20,10.31588229773798
4,21,10.960839235717247
4,9,9.126799991117093
7,6,19.55675885055448
7,3,14.932420965432787
5,23,11.186083067760848
2,21,11.80308529535003
6,7,17.25157470098651
2,7,11.980913631330258
4,7,12.128969599301854
