date,precipitation_mm,trip_count
2025-01-01,1.1,89087
2025-01-02,0.0,84284
2025-01-03,0.0,90579
2025-01-04,0.0,97306
2025-01-05,0.0,78968
2025-01-06,1.6,79769
2025-01-07,0.0,99795
2025-01-08,0.0,112460
2025-01-09,0.0,117669
2025-01-10,0.0,109789
2025-01-11,1.9000001,121226
2025-01-12,0.0,101728
2025-01-13,0.0,99271
2025-01-14,0.0,119642
2025-01-15,0.0,123669
2025-01-16,0.4,134688
2025-01-17,0.0,118092
2025-01-18,2.2,119004
2025-01-19,8.4,117424
2025-01-20,0.2,89343
2025-01-21,0.3,115601
2025-01-22,0.0,124988
2025-01-23,0.0,134837
2025-01-24,0.0,126369
2025-01-25,0.0,136109
2025-01-26,0.0,101538
2025-01-27,0.0,92311
2025-01-28,0.0,112447
2025-01-29,0.0,118808
2025-01-30,0.0,130157
2025-01-31,8.999999,129017
2025-02-01,1.0,147995
2025-02-02,2.2,122770
2025-02-03,0.0,97485
2025-02-04,0.0,118288
2025-02-05,0.0,126056
2025-02-06,9.7,124125
2025-02-07,0.0,134294
2025-02-08,8.5,145206
2025-02-09,4.0,122462
2025-02-10,0.0,106941
2025-02-11,1.8,123417
2025-02-12,3.9999998,126212
2025-02-13,5.9999995,139108
2025-02-14,0.0,152366
2025-02-15,8.0,147629
2025-02-16,19.6,112834
2025-02-17,0.0,93957
2025-02-18,0.0,115133
2025-02-19,0.0,121509
2025-02-20,0.9000001,138786
2025-02-21,0.0,130628
2025-02-22,0.0,140789
2025-02-23,0.0,108096
2025-02-24,0.0,95879
2025-02-25,0.0,113961
2025-02-26,0.2,126666
2025-02-27,1.9000001,140708
2025-02-28,0.0,144479
2025-03-01,0.0,163119
2025-03-02,0.0,127617
2025-03-03,0.0,109069
2025-03-04,0.0,122988
2025-03-05,41.299995,141789
2025-03-06,0.2,142737
2025-03-07,0.0,133391
2025-03-08,0.0,146393
2025-03-09,0.0,116116
2025-03-10,0.0,103519
2025-03-11,0.0,123620
2025-03-12,0.0,136086
2025-03-13,0.0,152675
